date,hour,day,sales,week
2020-01-01,9,Wednesday,1,1
2020-01-01,10,Wednesday,0,1
2020-01-01,11,Wednesday,0,1
2020-01-01,12,Wednesday,0,1
2020-01-01,13,Wednesday,0,1
2020-01-01,14,Wednesday,0,1
2020-01-01,15,Wednesday,0,1
2020-01-01,16,Wednesday,0,1
2020-01-01,17,Wednesday,0,1
2020-01-01,18,Wednesday,0,1
2020-01-01,19,Wednesday,0,1
2020-01-01,20,Wednesday,0,1
2020-01-02,9,Thursday,1,1
2020-01-02,10,Thursday,0,1
2020-01-02,11,Thursday,0,1
2020-01-02,12,Thursday,0,1
2020-01-02,13,Thursday,0,1
2020-01-02,14,Thursday,0,1
2020-01-02,15,Thursday,0,1
2020-01-02,16,Thursday,0,1
2020-01-02,17,Thursday,0,1
2020-01-02,18,Thursday,0,1
2020-01-02,19,Thursday,0,1
2020-01-02,20,Thursday,0,1
2020-01-03,9,Friday,1,1
2020-01-03,10,Friday,0,1
2020-01-03,11,Friday,0,1
2020-01-03,12,Friday,0,1
2020-01-03,13,Friday,0,1
2020-01-03,14,Friday,0,1
2020-01-03,15,Friday,0,1
2020-01-03,16,Friday,0,1
2020-01-03,17,Friday,0,1
2020-01-03,18,Friday,0,1
2020-01-03,19,Friday,0,1
2020-01-03,20,Friday,0,1
2020-01-04,9,Saturday,0,1
2020-01-04,10,Saturday,1,1
2020-01-04,11,Saturday,0,1
2020-01-04,12,Saturday,0,1
2020-01-04,13,Saturday,0,1
2020-01-04,14,Saturday,0,1
2020-01-04,15,Saturday,0,1
2020-01-04,16,Saturday,0,1
2020-01-04,17,Saturday,0,1
2020-01-04,18,Saturday,0,1
2020-01-04,19,Saturday,0,1
2020-01-04,20,Saturday,0,1
2020-01-05,9,Sunday,2,1
2020-01-05,10,Sunday,1,1
2020-01-05,11,Sunday,1,1
2020-01-05,12,Sunday,1,1
2020-01-05,13,Sunday,0,1
2020-01-05,14,Sunday,0,1
2020-01-05,15,Sunday,0,1
2020-01-05,16,Sunday,1,1
2020-01-05,17,Sunday,1,1
2020-01-05,18,Sunday,0,1
2020-01-05,19,Sunday,1,1
2020-01-05,20,Sunday,0,1
2020-01-06,9,Monday,1,1
2020-01-06,10,Monday,1,1
2020-01-06,11,Monday,1,1
2020-01-06,12,Monday,1,1
2020-01-06,13,Monday,1,1
2020-01-06,14,Monday,1,1
2020-01-06,15,Monday,1,1
2020-01-06,16,Monday,1,1
2020-01-06,17,Monday,1,1
2020-01-06,18,Monday,1,1
2020-01-06,19,Monday,2,1
2020-01-06,20,Monday,1,1
2020-01-07,9,Tuesday,3,1
2020-01-07,10,Tuesday,1,1
2020-01-07,11,Tuesday,5,1
2020-01-07,12,Tuesday,1,1
2020-01-07,13,Tuesday,1,1
2020-01-07,14,Tuesday,1,1
2020-01-07,15,Tuesday,0,1
2020-01-07,16,Tuesday,1,1
2020-01-07,17,Tuesday,0,1
2020-01-07,18,Tuesday,1,1
2020-01-07,19,Tuesday,1,1
2020-01-07,20,Tuesday,0,1
2020-01-08,9,Wednesday,1,2
2020-01-08,10,Wednesday,1,2
2020-01-08,11,Wednesday,1,2
2020-01-08,12,Wednesday,1,2
2020-01-08,13,Wednesday,1,2
2020-01-08,14,Wednesday,3,2
2020-01-08,15,Wednesday,1,2
2020-01-08,16,Wednesday,1,2
2020-01-08,17,Wednesday,1,2
2020-01-08,18,Wednesday,0,2
2020-01-08,19,Wednesday,3,2
2020-01-08,20,Wednesday,0,2
2020-01-09,9,Thursday,0,2
2020-01-09,10,Thursday,3,2
2020-01-09,11,Thursday,1,2
2020-01-09,12,Thursday,3,2
2020-01-09,13,Thursday,2,2
2020-01-09,14,Thursday,1,2
2020-01-09,15,Thursday,1,2
2020-01-09,16,Thursday,1,2
2020-01-09,17,Thursday,0,2
2020-01-09,18,Thursday,0,2
2020-01-09,19,Thursday,0,2
2020-01-09,20,Thursday,0,2
2020-01-10,9,Friday,0,2
2020-01-10,10,Friday,1,2
2020-01-10,11,Friday,1,2
2020-01-10,12,Friday,1,2
2020-01-10,13,Friday,1,2
2020-01-10,14,Friday,1,2
2020-01-10,15,Friday,1,2
2020-01-10,16,Friday,0,2
2020-01-10,17,Friday,1,2
2020-01-10,18,Friday,0,2
2020-01-10,19,Friday,0,2
2020-01-10,20,Friday,1,2
2020-01-11,9,Saturday,0,2
2020-01-11,10,Saturday,1,2
2020-01-11,11,Saturday,1,2
2020-01-11,12,Saturday,1,2
2020-01-11,13,Saturday,1,2
2020-01-11,14,Saturday,1,2
2020-01-11,15,Saturday,0,2
2020-01-11,16,Saturday,0,2
2020-01-11,17,Saturday,0,2
2020-01-11,18,Saturday,0,2
2020-01-11,19,Saturday,0,2
2020-01-11,20,Saturday,0,2
2020-01-12,9,Sunday,0,2
2020-01-12,10,Sunday,0,2
2020-01-12,11,Sunday,1,2
2020-01-12,12,Sunday,1,2
2020-01-12,13,Sunday,1,2
2020-01-12,14,Sunday,0,2
2020-01-12,15,Sunday,0,2
2020-01-12,16,Sunday,0,2
2020-01-12,17,Sunday,0,2
2020-01-12,18,Sunday,0,2
2020-01-12,19,Sunday,2,2
2020-01-12,20,Sunday,1,2
2020-01-13,9,Monday,0,2
2020-01-13,10,Monday,1,2
2020-01-13,11,Monday,1,2
2020-01-13,12,Monday,1,2
2020-01-13,13,Monday,1,2
2020-01-13,14,Monday,1,2
2020-01-13,15,Monday,0,2
2020-01-13,16,Monday,1,2
2020-01-13,17,Monday,3,2
2020-01-13,18,Monday,0,2
2020-01-13,19,Monday,0,2
2020-01-13,20,Monday,0,2
2020-01-14,9,Tuesday,0,2
2020-01-14,10,Tuesday,1,2
2020-01-14,11,Tuesday,3,2
2020-01-14,12,Tuesday,1,2
2020-01-14,13,Tuesday,1,2
2020-01-14,14,Tuesday,1,2
2020-01-14,15,Tuesday,1,2
2020-01-14,16,Tuesday,0,2
2020-01-14,17,Tuesday,0,2
2020-01-14,18,Tuesday,0,2
2020-01-14,19,Tuesday,1,2
2020-01-14,20,Tuesday,0,2
2020-01-15,9,Wednesday,1,3
2020-01-15,10,Wednesday,1,3
2020-01-15,11,Wednesday,1,3
2020-01-15,12,Wednesday,1,3
2020-01-15,13,Wednesday,0,3
2020-01-15,14,Wednesday,1,3
2020-01-15,15,Wednesday,1,3
2020-01-15,16,Wednesday,1,3
2020-01-15,17,Wednesday,0,3
2020-01-15,18,Wednesday,0,3
2020-01-15,19,Wednesday,1,3
2020-01-15,20,Wednesday,1,3
2020-01-16,9,Thursday,0,3
2020-01-16,10,Thursday,3,3
2020-01-16,11,Thursday,3,3
2020-01-16,12,Thursday,1,3
2020-01-16,13,Thursday,3,3
2020-01-16,14,Thursday,2,3
2020-01-16,15,Thursday,1,3
2020-01-16,16,Thursday,1,3
2020-01-16,17,Thursday,1,3
2020-01-16,18,Thursday,0,3
2020-01-16,19,Thursday,0,3
2020-01-16,20,Thursday,0,3
2020-01-17,9,Friday,1,3
2020-01-17,10,Friday,0,3
2020-01-17,11,Friday,1,3
2020-01-17,12,Friday,1,3
2020-01-17,13,Friday,1,3
2020-01-17,14,Friday,0,3
2020-01-17,15,Friday,0,3
2020-01-17,16,Friday,1,3
2020-01-17,17,Friday,1,3
2020-01-17,18,Friday,0,3
2020-01-17,19,Friday,1,3
2020-01-17,20,Friday,0,3
2020-01-18,9,Saturday,0,3
2020-01-18,10,Saturday,0,3
2020-01-18,11,Saturday,3,3
2020-01-18,12,Saturday,3,3
2020-01-18,13,Saturday,1,3
2020-01-18,14,Saturday,0,3
2020-01-18,15,Saturday,1,3
2020-01-18,16,Saturday,0,3
2020-01-18,17,Saturday,1,3
2020-01-18,18,Saturday,1,3
2020-01-18,19,Saturday,1,3
2020-01-18,20,Saturday,0,3
2020-01-19,9,Sunday,0,3
2020-01-19,10,Sunday,0,3
2020-01-19,11,Sunday,1,3
2020-01-19,12,Sunday,1,3
2020-01-19,13,Sunday,1,3
2020-01-19,14,Sunday,0,3
2020-01-19,15,Sunday,1,3
2020-01-19,16,Sunday,0,3
2020-01-19,17,Sunday,0,3
2020-01-19,18,Sunday,0,3
2020-01-19,19,Sunday,0,3
2020-01-19,20,Sunday,0,3
2020-01-20,9,Monday,0,3
2020-01-20,10,Monday,1,3
2020-01-20,11,Monday,0,3
2020-01-20,12,Monday,3,3
2020-01-20,13,Monday,0,3
2020-01-20,14,Monday,2,3
2020-01-20,15,Monday,0,3
2020-01-20,16,Monday,1,3
2020-01-20,17,Monday,0,3
2020-01-20,18,Monday,0,3
2020-01-20,19,Monday,1,3
2020-01-20,20,Monday,1,3
2020-01-21,9,Tuesday,1,3
2020-01-21,10,Tuesday,0,3
2020-01-21,11,Tuesday,3,3
2020-01-21,12,Tuesday,1,3
2020-01-21,13,Tuesday,0,3
2020-01-21,14,Tuesday,1,3
2020-01-21,15,Tuesday,1,3
2020-01-21,16,Tuesday,1,3
2020-01-21,17,Tuesday,1,3
2020-01-21,18,Tuesday,0,3
2020-01-21,19,Tuesday,1,3
2020-01-21,20,Tuesday,1,3
2020-01-22,9,Wednesday,1,4
2020-01-22,10,Wednesday,1,4
2020-01-22,11,Wednesday,0,4
2020-01-22,12,Wednesday,1,4
2020-01-22,13,Wednesday,0,4
2020-01-22,14,Wednesday,1,4
2020-01-22,15,Wednesday,0,4
2020-01-22,16,Wednesday,1,4
2020-01-22,17,Wednesday,0,4
2020-01-22,18,Wednesday,1,4
2020-01-22,19,Wednesday,0,4
2020-01-22,20,Wednesday,1,4
2020-01-23,9,Thursday,3,4
2020-01-23,10,Thursday,1,4
2020-01-23,11,Thursday,1,4
2020-01-23,12,Thursday,1,4
2020-01-23,13,Thursday,1,4
2020-01-23,14,Thursday,3,4
2020-01-23,15,Thursday,1,4
2020-01-23,16,Thursday,1,4
2020-01-23,17,Thursday,1,4
2020-01-23,18,Thursday,0,4
2020-01-23,19,Thursday,0,4
2020-01-23,20,Thursday,0,4
2020-01-24,9,Friday,1,4
2020-01-24,10,Friday,3,4
2020-01-24,11,Friday,1,4
2020-01-24,12,Friday,1,4
2020-01-24,13,Friday,3,4
2020-01-24,14,Friday,3,4
2020-01-24,15,Friday,0,4
2020-01-24,16,Friday,2,4
2020-01-24,17,Friday,1,4
2020-01-24,18,Friday,1,4
2020-01-24,19,Friday,0,4
2020-01-24,20,Friday,0,4
2020-01-25,9,Saturday,1,4
2020-01-25,10,Saturday,1,4
2020-01-25,11,Saturday,1,4
2020-01-25,12,Saturday,1,4
2020-01-25,13,Saturday,1,4
2020-01-25,14,Saturday,3,4
2020-01-25,15,Saturday,1,4
2020-01-25,16,Saturday,0,4
2020-01-25,17,Saturday,1,4
2020-01-25,18,Saturday,1,4
2020-01-25,19,Saturday,0,4
2020-01-25,20,Saturday,0,4
2020-01-26,9,Sunday,0,4
2020-01-26,10,Sunday,1,4
2020-01-26,11,Sunday,1,4
2020-01-26,12,Sunday,1,4
2020-01-26,13,Sunday,0,4
2020-01-26,14,Sunday,0,4
2020-01-26,15,Sunday,0,4
2020-01-26,16,Sunday,0,4
2020-01-26,17,Sunday,1,4
2020-01-26,18,Sunday,0,4
2020-01-26,19,Sunday,0,4
2020-01-26,20,Sunday,0,4
2020-01-27,9,Monday,1,4
2020-01-27,10,Monday,2,4
2020-01-27,11,Monday,3,4
2020-01-27,12,Monday,1,4
2020-01-27,13,Monday,1,4
2020-01-27,14,Monday,1,4
2020-01-27,15,Monday,0,4
2020-01-27,16,Monday,0,4
2020-01-27,17,Monday,0,4
2020-01-27,18,Monday,1,4
2020-01-27,19,Monday,1,4
2020-01-27,20,Monday,0,4
2020-01-28,9,Tuesday,0,4
2020-01-28,10,Tuesday,0,4
2020-01-28,11,Tuesday,3,4
2020-01-28,12,Tuesday,2,4
2020-01-28,13,Tuesday,1,4
2020-01-28,14,Tuesday,1,4
2020-01-28,15,Tuesday,4,4
2020-01-28,16,Tuesday,0,4
2020-01-28,17,Tuesday,1,4
2020-01-28,18,Tuesday,0,4
2020-01-28,19,Tuesday,2,4
2020-01-28,20,Tuesday,1,4
2020-01-29,9,Wednesday,0,5
2020-01-29,10,Wednesday,1,5
2020-01-29,11,Wednesday,3,5
2020-01-29,12,Wednesday,3,5
2020-01-29,13,Wednesday,3,5
2020-01-29,14,Wednesday,1,5
2020-01-29,15,Wednesday,1,5
2020-01-29,16,Wednesday,0,5
2020-01-29,17,Wednesday,0,5
2020-01-29,18,Wednesday,1,5
2020-01-29,19,Wednesday,0,5
2020-01-29,20,Wednesday,1,5
2020-01-30,9,Thursday,0,5
2020-01-30,10,Thursday,1,5
2020-01-30,11,Thursday,1,5
2020-01-30,12,Thursday,1,5
2020-01-30,13,Thursday,1,5
2020-01-30,14,Thursday,0,5
2020-01-30,15,Thursday,1,5
2020-01-30,16,Thursday,0,5
2020-01-30,17,Thursday,1,5
2020-01-30,18,Thursday,0,5
2020-01-30,19,Thursday,1,5
2020-01-30,20,Thursday,0,5
2020-01-31,9,Friday,0,5
2020-01-31,10,Friday,1,5
2020-01-31,11,Friday,0,5
2020-01-31,12,Friday,1,5
2020-01-31,13,Friday,3,5
2020-01-31,14,Friday,1,5
2020-01-31,15,Friday,0,5
2020-01-31,16,Friday,2,5
2020-01-31,17,Friday,0,5
2020-01-31,18,Friday,0,5
2020-01-31,19,Friday,1,5
2020-01-31,20,Friday,0,5
2020-02-01,9,Saturday,0,5
2020-02-01,10,Saturday,1,5
2020-02-01,11,Saturday,1,5
2020-02-01,12,Saturday,1,5
2020-02-01,13,Saturday,1,5
2020-02-01,14,Saturday,0,5
2020-02-01,15,Saturday,1,5
2020-02-01,16,Saturday,1,5
2020-02-01,17,Saturday,0,5
2020-02-01,18,Saturday,0,5
2020-02-01,19,Saturday,0,5
2020-02-01,20,Saturday,0,5
2020-02-02,9,Sunday,0,5
2020-02-02,10,Sunday,0,5
2020-02-02,11,Sunday,1,5
2020-02-02,12,Sunday,1,5
2020-02-02,13,Sunday,1,5
2020-02-02,14,Sunday,0,5
2020-02-02,15,Sunday,0,5
2020-02-02,16,Sunday,1,5
2020-02-02,17,Sunday,0,5
2020-02-02,18,Sunday,0,5
2020-02-02,19,Sunday,0,5
2020-02-02,20,Sunday,0,5
2020-02-03,9,Monday,1,5
2020-02-03,10,Monday,1,5
2020-02-03,11,Monday,3,5
2020-02-03,12,Monday,3,5
2020-02-03,13,Monday,1,5
2020-02-03,14,Monday,1,5
2020-02-03,15,Monday,3,5
2020-02-03,16,Monday,1,5
2020-02-03,17,Monday,1,5
2020-02-03,18,Monday,0,5
2020-02-03,19,Monday,0,5
2020-02-03,20,Monday,0,5
2020-02-04,9,Tuesday,1,5
2020-02-04,10,Tuesday,0,5
2020-02-04,11,Tuesday,6,5
2020-02-04,12,Tuesday,3,5
2020-02-04,13,Tuesday,2,5
2020-02-04,14,Tuesday,1,5
2020-02-04,15,Tuesday,1,5
2020-02-04,16,Tuesday,1,5
2020-02-04,17,Tuesday,1,5
2020-02-04,18,Tuesday,1,5
2020-02-04,19,Tuesday,1,5
2020-02-04,20,Tuesday,0,5
2020-02-05,9,Wednesday,0,6
2020-02-05,10,Wednesday,1,6
2020-02-05,11,Wednesday,1,6
2020-02-05,12,Wednesday,1,6
2020-02-05,13,Wednesday,0,6
2020-02-05,14,Wednesday,1,6
2020-02-05,15,Wednesday,1,6
2020-02-05,16,Wednesday,1,6
2020-02-05,17,Wednesday,1,6
2020-02-05,18,Wednesday,0,6
2020-02-05,19,Wednesday,0,6
2020-02-05,20,Wednesday,0,6
2020-02-06,9,Thursday,2,6
2020-02-06,10,Thursday,3,6
2020-02-06,11,Thursday,1,6
2020-02-06,12,Thursday,3,6
2020-02-06,13,Thursday,1,6
2020-02-06,14,Thursday,3,6
2020-02-06,15,Thursday,1,6
2020-02-06,16,Thursday,0,6
2020-02-06,17,Thursday,0,6
2020-02-06,18,Thursday,2,6
2020-02-06,19,Thursday,1,6
2020-02-06,20,Thursday,0,6
2020-02-07,9,Friday,0,6
2020-02-07,10,Friday,3,6
2020-02-07,11,Friday,1,6
2020-02-07,12,Friday,4,6
2020-02-07,13,Friday,2,6
2020-02-07,14,Friday,1,6
2020-02-07,15,Friday,3,6
2020-02-07,16,Friday,0,6
2020-02-07,17,Friday,3,6
2020-02-07,18,Friday,0,6
2020-02-07,19,Friday,1,6
2020-02-07,20,Friday,0,6
2020-02-08,9,Saturday,0,6
2020-02-08,10,Saturday,1,6
2020-02-08,11,Saturday,0,6
2020-02-08,12,Saturday,1,6
2020-02-08,13,Saturday,1,6
2020-02-08,14,Saturday,0,6
2020-02-08,15,Saturday,0,6
2020-02-08,16,Saturday,0,6
2020-02-08,17,Saturday,1,6
2020-02-08,18,Saturday,0,6
2020-02-08,19,Saturday,0,6
2020-02-08,20,Saturday,0,6
2020-02-09,9,Sunday,0,6
2020-02-09,10,Sunday,1,6
2020-02-09,11,Sunday,3,6
2020-02-09,12,Sunday,3,6
2020-02-09,13,Sunday,0,6
2020-02-09,14,Sunday,0,6
2020-02-09,15,Sunday,0,6
2020-02-09,16,Sunday,0,6
2020-02-09,17,Sunday,0,6
2020-02-09,18,Sunday,0,6
2020-02-09,19,Sunday,0,6
2020-02-09,20,Sunday,1,6
2020-02-10,9,Monday,0,6
2020-02-10,10,Monday,1,6
2020-02-10,11,Monday,1,6
2020-02-10,12,Monday,0,6
2020-02-10,13,Monday,2,6
2020-02-10,14,Monday,0,6
2020-02-10,15,Monday,0,6
2020-02-10,16,Monday,0,6
2020-02-10,17,Monday,0,6
2020-02-10,18,Monday,0,6
2020-02-10,19,Monday,0,6
2020-02-10,20,Monday,0,6
2020-02-11,9,Tuesday,0,6
2020-02-11,10,Tuesday,1,6
2020-02-11,11,Tuesday,3,6
2020-02-11,12,Tuesday,1,6
2020-02-11,13,Tuesday,0,6
2020-02-11,14,Tuesday,1,6
2020-02-11,15,Tuesday,1,6
2020-02-11,16,Tuesday,3,6
2020-02-11,17,Tuesday,1,6
2020-02-11,18,Tuesday,0,6
2020-02-11,19,Tuesday,0,6
2020-02-11,20,Tuesday,1,6
2020-02-12,9,Wednesday,0,7
2020-02-12,10,Wednesday,0,7
2020-02-12,11,Wednesday,0,7
2020-02-12,12,Wednesday,3,7
2020-02-12,13,Wednesday,1,7
2020-02-12,14,Wednesday,1,7
2020-02-12,15,Wednesday,1,7
2020-02-12,16,Wednesday,3,7
2020-02-12,17,Wednesday,0,7
2020-02-12,18,Wednesday,0,7
2020-02-12,19,Wednesday,0,7
2020-02-12,20,Wednesday,0,7
2020-02-13,9,Thursday,0,7
2020-02-13,10,Thursday,1,7
2020-02-13,11,Thursday,1,7
2020-02-13,12,Thursday,1,7
2020-02-13,13,Thursday,1,7
2020-02-13,14,Thursday,1,7
2020-02-13,15,Thursday,1,7
2020-02-13,16,Thursday,1,7
2020-02-13,17,Thursday,1,7
2020-02-13,18,Thursday,0,7
2020-02-13,19,Thursday,0,7
2020-02-13,20,Thursday,0,7
2020-02-14,9,Friday,0,7
2020-02-14,10,Friday,0,7
2020-02-14,11,Friday,1,7
2020-02-14,12,Friday,1,7
2020-02-14,13,Friday,1,7
2020-02-14,14,Friday,1,7
2020-02-14,15,Friday,3,7
2020-02-14,16,Friday,0,7
2020-02-14,17,Friday,1,7
2020-02-14,18,Friday,1,7
2020-02-14,19,Friday,1,7
2020-02-14,20,Friday,0,7
2020-02-15,9,Saturday,2,7
2020-02-15,10,Saturday,1,7
2020-02-15,11,Saturday,1,7
2020-02-15,12,Saturday,2,7
2020-02-15,13,Saturday,3,7
2020-02-15,14,Saturday,3,7
2020-02-15,15,Saturday,0,7
2020-02-15,16,Saturday,0,7
2020-02-15,17,Saturday,0,7
2020-02-15,18,Saturday,0,7
